,customer_id,age,monthly_salary,account_balance,marital_status,targeted_customer_yn,default_yn,house_loan_yn,other_loan_yn,contact_carrier,day_of_contact,campaign,last_contacted_days,total_previous_contact,last_contact_outcome,customer_responded_yn,job,education,month_of_contact,year_of_contact,call_duration_sec,loan_yn
0,1,58,100000,2143,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,261,1
1,2,44,60000,29,1,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,151,1
2,3,33,120000,2,2,1,0,1,1,,5,1,-1,0,,0.0,4.0,2.0,5.0,2017,76,1
3,4,47,20000,1506,2,0,0,1,0,,5,1,-1,0,,0.0,7.0,,5.0,2017,92,1
4,5,33,0,1,1,0,0,0,0,,5,1,-1,0,,0.0,,,5.0,2017,198,0
5,6,35,100000,231,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,139,1
6,7,28,100000,447,1,0,0,1,1,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,217,1
7,8,42,120000,2,3,0,1,1,0,,5,1,-1,0,,0.0,4.0,3.0,5.0,2017,380,1
8,9,58,55000,121,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,50,1
9,10,43,60000,593,1,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,55,1
10,11,41,50000,270,3,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,222,1
11,12,29,50000,390,1,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,137,1
12,13,53,60000,6,2,1,0,1,0,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,517,1
13,14,58,60000,71,2,0,0,1,0,,5,1,-1,0,,0.0,5.0,,5.0,2017,71,1
14,15,57,70000,162,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,174,1
15,16,51,55000,229,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,353,1
16,17,45,50000,13,1,0,0,1,0,,5,1,-1,0,,0.0,8.0,,5.0,2017,98,1
17,18,57,20000,52,2,1,0,1,0,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,38,1
18,19,60,55000,60,2,1,0,1,0,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,219,1
19,20,33,70000,0,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,54,1
20,21,28,20000,723,2,1,0,1,1,,5,1,-1,0,,0.0,7.0,2.0,5.0,2017,262,1
21,22,56,100000,779,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,164,1
22,23,32,20000,23,1,1,0,1,1,,5,1,-1,0,,0.0,7.0,1.0,5.0,2017,160,1
23,24,25,70000,50,2,1,0,1,0,,5,1,-1,0,,0.0,9.0,2.0,5.0,2017,342,1
24,25,40,55000,0,2,1,0,1,1,,5,1,-1,0,,0.0,11.0,1.0,5.0,2017,181,1
25,26,44,50000,-372,2,1,0,1,0,,5,1,-1,0,,0.0,8.0,2.0,5.0,2017,172,1
26,27,39,100000,255,1,0,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,296,1
27,28,52,120000,113,2,1,0,1,1,,5,1,-1,0,,0.0,4.0,2.0,5.0,2017,127,1
28,29,46,100000,-246,1,1,0,1,0,,5,2,-1,0,,0.0,6.0,2.0,5.0,2017,255,1
29,30,36,60000,265,1,1,0,1,1,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,348,1
30,31,57,60000,839,2,1,0,0,1,,5,1,-1,0,,0.0,5.0,2.0,5.0,2017,225,1
31,32,49,100000,378,2,1,0,1,0,,5,1,-1,0,,0.0,6.0,3.0,5.0,2017,230,1
