,customer_id,age,monthly_salary,account_balance,marital_status,targeted_customer_yn,default_yn,house_loan_yn,other_loan_yn,contact_carrier,day_of_contact,campaign,last_contacted_days,total_previous_contact,customer_responded_yn,job,education,month_of_contact,call_duration_sec,loan_yn
0,1,58,100000,2143,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,261,1
1,2,44,60000,29,1,1,0,1,0,1,5,1,-1,0,0,5,2,5,151,1
2,3,33,120000,2,2,1,0,1,1,1,5,1,-1,0,0,4,2,5,76,1
3,4,47,20000,1506,2,0,0,1,0,1,5,1,-1,0,0,7,1,5,92,1
4,6,35,100000,231,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,139,1
5,7,28,100000,447,1,0,0,1,1,1,5,1,-1,0,0,6,3,5,217,1
6,8,42,120000,2,3,0,1,1,0,1,5,1,-1,0,0,4,3,5,380,1
7,9,58,55000,121,2,1,0,1,0,1,5,1,-1,0,0,11,1,5,50,1
8,10,43,60000,593,1,1,0,1,0,1,5,1,-1,0,0,5,2,5,55,1
9,11,41,50000,270,3,1,0,1,0,1,5,1,-1,0,0,8,2,5,222,1
10,12,29,50000,390,1,1,0,1,0,2,5,1,-1,0,0,8,2,5,137,1
11,13,53,60000,6,2,1,0,1,0,1,5,1,-1,0,0,5,2,5,517,1
12,14,58,60000,71,2,0,0,1,0,1,5,1,-1,0,0,5,2,5,71,1
13,15,57,70000,162,2,1,0,1,0,1,5,1,-1,0,0,9,2,5,174,1
14,16,51,55000,229,2,1,0,1,0,1,5,1,-1,0,0,11,1,5,353,1
15,17,45,50000,13,1,0,0,1,0,1,5,1,-1,0,0,8,2,5,98,1
16,18,57,20000,52,2,1,0,1,0,1,5,1,-1,0,0,7,1,5,38,1
17,19,60,55000,60,2,1,0,1,0,1,5,1,-1,0,0,11,1,5,219,1
18,20,33,70000,0,2,1,0,1,0,1,5,1,-1,0,0,9,2,5,54,1
19,21,28,20000,723,2,1,0,1,1,1,5,1,-1,0,0,7,2,5,262,1
20,22,56,100000,779,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,164,1
21,23,32,20000,23,1,1,0,1,1,2,5,1,-1,0,0,7,1,5,160,1
22,24,25,70000,50,2,1,0,1,0,1,5,1,-1,0,0,9,2,5,342,1
23,25,40,55000,0,2,1,0,1,1,1,5,1,-1,0,0,11,1,5,181,1
24,26,44,50000,-372,2,1,0,1,0,1,5,1,-1,0,0,8,2,5,172,1
25,27,39,100000,255,1,0,0,1,0,1,5,1,-1,0,0,6,3,5,296,1
26,28,52,120000,113,2,1,0,1,1,1,5,1,-1,0,0,4,2,5,127,1
27,29,46,100000,-246,1,1,0,1,0,1,5,2,-1,0,0,6,2,5,255,1
28,30,36,60000,265,1,1,0,1,1,1,5,1,-1,0,0,5,2,5,348,1
29,31,57,60000,839,2,1,0,0,1,1,5,1,-1,0,0,5,2,5,225,1
30,32,49,100000,378,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,230,1
31,33,60,50000,39,2,1,0,1,1,1,5,1,-1,0,0,8,2,5,208,1
32,34,59,20000,0,2,1,0,1,0,2,5,1,-1,0,0,7,2,5,226,1
33,35,51,100000,10635,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,336,1
34,36,57,60000,63,3,1,0,1,0,1,5,1,-1,0,0,5,2,5,242,1
35,37,25,20000,-7,2,1,0,1,0,1,5,1,-1,0,0,7,2,5,365,1
36,38,53,60000,-3,2,1,0,0,0,1,5,1,-1,0,0,5,2,5,1666,0
37,39,36,50000,506,3,1,0,1,0,1,5,1,-1,0,0,8,2,5,577,1
38,40,37,50000,0,1,1,0,1,0,1,5,1,-1,0,0,8,2,5,137,1
39,41,44,70000,2586,3,1,0,1,0,1,5,1,-1,0,0,9,2,5,160,1
40,42,50,100000,49,2,1,0,1,0,1,5,2,-1,0,0,6,2,5,180,1
41,43,60,20000,104,2,0,0,1,0,1,5,1,-1,0,0,7,1,5,22,1
42,44,54,55000,529,2,1,0,1,0,1,5,1,-1,0,0,11,2,5,1492,1
43,45,58,55000,96,2,0,0,1,0,2,5,1,-1,0,0,11,2,5,616,1
44,46,36,50000,-171,1,1,0,1,0,1,5,1,-1,0,0,8,1,5,242,1
45,47,58,60000,-364,2,1,0,1,0,1,5,1,-1,0,0,2,3,5,355,1
46,48,44,60000,0,2,1,0,1,0,1,5,2,-1,0,0,5,2,5,225,1
47,49,55,60000,0,3,1,0,0,0,1,5,1,-1,0,0,5,2,5,160,0
48,50,29,100000,0,1,0,0,1,0,1,5,1,-1,0,0,6,3,5,363,1
49,51,54,20000,1291,2,1,0,1,0,1,5,1,-1,0,0,7,2,5,266,1
50,52,48,100000,-244,3,0,0,1,0,1,5,1,-1,0,0,6,3,5,253,1
51,53,32,100000,0,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,179,1
52,54,42,50000,-76,1,1,0,1,0,1,5,1,-1,0,0,8,2,5,787,1
53,55,24,60000,-103,1,1,0,1,1,1,5,1,-1,0,0,5,2,5,145,1
54,56,38,120000,243,1,0,0,0,1,2,5,1,-1,0,0,4,3,5,174,1
55,57,38,100000,424,1,0,0,1,0,1,5,1,-1,0,0,6,3,5,104,1
56,58,47,20000,306,2,0,0,1,0,1,5,1,-1,0,0,7,1,5,13,1
57,59,40,20000,24,1,0,0,1,0,1,5,1,-1,0,0,7,1,5,185,1
58,60,46,70000,179,2,1,0,1,0,1,5,1,-1,0,0,9,1,5,1778,1
59,61,32,50000,0,2,1,0,1,0,1,5,1,-1,0,0,8,3,5,138,1
60,62,53,60000,989,3,1,0,1,0,1,5,1,-1,0,0,5,2,5,812,1
61,63,57,20000,249,2,1,0,1,0,1,5,1,-1,0,0,7,1,5,164,1
62,64,33,70000,790,2,1,0,1,0,1,5,1,-1,0,0,9,2,5,391,1
63,65,49,20000,154,2,0,0,1,0,1,5,1,-1,0,0,7,1,5,357,1
64,66,51,100000,6530,2,1,0,1,0,1,5,1,-1,0,0,6,3,5,91,1
65,67,60,55000,100,2,1,0,0,0,2,5,1,-1,0,0,11,3,5,528,0
66,68,59,100000,59,3,0,0,1,0,1,5,1,-1,0,0,6,3,5,273,1
67,69,55,60000,1205,2,1,0,1,0,1,5,2,-1,0,0,5,2,5,158,1
68,70,35,20000,12223,1,1,0,1,1,1,5,1,-1,0,0,7,2,5,177,1
69,71,57,20000,5935,2,1,0,1,1,1,5,1,-1,0,0,7,2,5,258,1
70,72,31,70000,25,2,1,0,1,1,1,5,1,-1,0,0,9,2,5,172,1
71,73,54,100000,282,2,1,0,1,1,1,5,1,-1,0,0,6,2,5,154,1
72,74,55,20000,23,2,1,0,1,0,1,5,1,-1,0,0,7,1,5,291,1
73,75,43,60000,1937,2,1,0,1,0,1,5,1,-1,0,0,5,2,5,181,1
74,76,53,60000,384,2,1,0,1,0,1,5,1,-1,0,0,5,2,5,176,1
75,77,44,20000,582,2,1,0,0,1,1,5,1,-1,0,0,7,2,5,211,1
76,78,55,70000,91,3,1,0,0,0,2,5,1,-1,0,0,9,2,5,349,0
77,79,49,70000,0,3,1,0,1,1,1,5,1,-1,0,0,9,2,5,272,1
78,80,55,70000,1,3,1,1,1,0,1,5,1,-1,0,0,9,2,5,208,1
79,81,45,50000,206,1,1,0,1,0,1,5,1,-1,0,0,8,2,5,193,1
80,82,47,70000,164,3,1,0,0,0,1,5,1,-1,0,0,9,2,5,212,0
81,83,42,60000,690,1,1,0,1,0,1,5,1,-1,0,0,5,2,5,20,1
82,84,59,50000,2343,2,1,0,1,0,1,5,1,-1,0,1,8,2,5,1042,1
83,85,46,60000,137,2,1,0,1,1,1,5,1,-1,0,0,2,3,5,246,1
84,86,51,20000,173,2,1,0,1,0,1,5,2,-1,0,0,7,1,5,529,1
85,87,56,50000,45,2,1,0,0,0,1,5,1,-1,0,1,8,2,5,1467,0
86,88,41,60000,1270,2,1,0,1,0,1,5,1,-1,0,1,5,2,5,1389,1
87,89,46,100000,16,3,1,0,1,1,2,5,2,-1,0,0,6,2,5,188,1
88,90,57,55000,486,2,1,0,1,0,1,5,2,-1,0,0,11,2,5,180,1
89,91,42,100000,50,1,1,0,0,0,1,5,1,-1,0,0,6,2,5,48,0
90,92,30,60000,152,2,1,0,1,1,1,5,2,-1,0,0,5,2,5,213,1
91,93,60,50000,290,2,1,0,1,0,1,5,1,-1,0,0,8,2,5,583,1
92,94,60,20000,54,2,0,0,1,0,1,5,1,-1,0,0,7,1,5,221,1
93,95,57,120000,-37,3,1,0,0,0,1,5,1,-1,0,0,4,2,5,173,0
94,96,36,100000,101,2,1,0,1,1,1,5,1,-1,0,0,6,3,5,426,1
95,97,55,20000,383,2,1,0,0,0,1,5,1,-1,0,0,7,2,5,287,0
96,98,60,55000,81,2,1,0,1,0,1,5,1,-1,0,0,11,3,5,101,1
97,99,39,60000,0,2,1,0,1,0,1,5,1,-1,0,0,5,2,5,203,1
98,100,46,100000,229,2,1,0,1,0,2,5,1,-1,0,0,6,3,5,197,1
99,101,44,20000,-674,2,1,0,1,0,1,5,1,-1,0,0,7,2,5,257,1
100,102,53,20000,90,2,1,0,0,0,1,5,1,-1,0,0,7,1,5,124,0
101,103,52,20000,128,2,1,0,1,0,1,5,1,-1,0,0,7,1,5,229,1
102,104,59,20000,179,2,1,0,1,0,1,5,3,-1,0,0,7,1,5,55,1
103,105,27,60000,0,1,0,0,1,0,1,5,1,-1,0,0,5,3,5,400,1
104,106,44,20000,54,2,1,0,1,0,1,5,1,-1,0,0,7,2,5,197,1
105,107,47,60000,151,2,1,0,1,0,1,5,1,-1,0,0,5,3,5,190,1
106,108,34,50000,61,2,1,0,0,1,1,5,1,-1,0,0,8,2,5,21,1
107,109,59,55000,30,1,1,0,1,0,1,5,1,-1,0,0,11,2,5,514,1
108,110,45,100000,523,2,1,0,1,0,1,5,2,-1,0,0,6,3,5,849,1
109,111,29,70000,31,3,1,0,1,0,2,5,1,-1,0,0,9,2,5,194,1
110,112,46,60000,79,3,1,0,0,0,1,5,1,-1,0,0,5,2,5,144,0
111,113,56,60000,-34,2,1,0,1,1,1,5,2,-1,0,0,2,1,5,212,1
112,114,36,20000,448,2,1,0,1,0,1,5,1,-1,0,0,7,1,5,286,1
113,115,59,55000,81,3,1,0,1,0,1,5,1,-1,0,0,11,1,5,107,1
114,116,44,20000,144,2,1,0,1,0,1,5,2,-1,0,0,7,2,5,247,1
115,117,41,50000,351,2,1,0,1,0,1,5,1,-1,0,0,8,2,5,518,1
116,118,33,100000,-67,1,0,0,1,0,1,5,1,-1,0,0,6,3,5,364,1
